Development,Claim Lag,Claim,Origin
2021Q4,5,290014600,2020Q3
2022Q1,6,189856900,2020Q3
2022Q2,7,127895100,2020Q3
2022Q3,8,85683500,2020Q3
2022Q4,9,86146600,2020Q3
2023Q1,10,52925500,2020Q3
2023Q2,11,34466000,2020Q3
2020Q4,0,1234603500,2020Q4
2021Q1,1,756620400,2020Q4
2021Q2,2,721011700,2020Q4
2021Q3,3,505583100,2020Q4
2021Q4,4,361930700,2020Q4
2022Q1,5,235043500,2020Q4
2022Q2,6,184376200,2020Q4
2022Q3,7,131682600,2020Q4
2022Q4,8,98054200,2020Q4
2023Q1,9,56009500,2020Q4
2023Q2,10,47136700,2020Q4
2021Q1,0,1159858600,2021Q1
2021Q2,1,786803000,2021Q1
2021Q3,2,525887300,2021Q1
2021Q4,3,374550100,2021Q1
2022Q1,4,334593800,2021Q1
2022Q2,5,203806200,2021Q1
2022Q3,6,199438300,2021Q1
2022Q4,7,127787600,2021Q1
2023Q1,8,84373400,2021Q1
2023Q2,9,67638700,2021Q1
2021Q2,0,1407679400,2021Q2
2021Q3,1,857638200,2021Q2
2021Q4,2,698147100,2021Q2
2022Q1,3,379431800,2021Q2
2022Q2,4,328959700,2021Q2
2022Q3,5,239262700,2021Q2
2022Q4,6,204929400,2021Q2
2023Q1,7,130265300,2021Q2
2023Q2,8,90978700,2021Q2
2021Q3,0,1200369500,2021Q3
2021Q4,1,942342700,2021Q3
2022Q1,2,662085800,2021Q3
2022Q2,3,398512400,2021Q3
2022Q3,4,404563600,2021Q3
2022Q4,5,301035800,2021Q3
2023Q1,6,161542100,2021Q3
2023Q2,7,139982600,2021Q3
2021Q4,0,1364526500,2021Q4
2022Q1,1,845866900,2021Q4
2022Q2,2,716053400,2021Q4
2022Q3,3,533172900,2021Q4
2022Q4,4,393076600,2021Q4
2023Q1,5,217296400,2021Q4
2023Q2,6,218298300,2021Q4
2022Q1,0,1094808300,2022Q1
2022Q2,1,996898000,2022Q1
2022Q3,2,671781400,2022Q1
2022Q4,3,582224600,2022Q1
2023Q1,4,419564000,2022Q1
2023Q2,5,251385400,2022Q1
2022Q2,0,1454085600,2022Q2
2022Q3,1,1159188600,2022Q2
2022Q4,2,755030300,2022Q2
2023Q1,3,713543200,2022Q2
2023Q2,4,381999500,2022Q2
2022Q3,0,1319222000,2022Q3
2022Q4,1,1177181600,2022Q3
2023Q1,2,826043600,2022Q3
2023Q2,3,570153400,2022Q3
2022Q4,0,1902952400,2022Q4
2023Q1,1,1202934400,2022Q4
2023Q2,2,803136200,2022Q4
2023Q1,0,1751232400,2023Q1
2023Q2,1,1134057000,2023Q1
2023Q2,0,1610316300,2023Q2
